ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
778-63-8865|676213431619|Paige|Padilla|F|2400 Flynn Hill|Winthrop Harbor|IL|60096|42.4793|-87.8318|6897|Mechanical engineer|1965-06-14|474056332778|adults_50up_female_urban.json
251-68-6752|3522196937923745|Julia|Estrada|F|8217 Huerta Hills Suite 474|San Jose|CA|95118|37.2568|-121.8896|973849|Engineer, civil (contracting)|1967-12-14|425199071794|adults_50up_female_urban.json
110-31-6249|3594406409097438|Lisa|Gomez|F|421 Kyle Mill|Brooklyn|NY|11204|40.6179|-73.9856|2504700|Analytical chemist|1958-06-10|401921209060|adults_50up_female_urban.json
135-12-4836|372328588424742|Paul|Morgan|M|1236 Davis Locks|Succasunna|NJ|07876|40.8538|-74.6536|10619|Administrator, education|1989-12-01|589546360500|adults_2550_male_urban.json
466-48-4296|3551370985931744|Matthew|Wilson|M|47113 Paul Land|Winchester|VA|22601|39.1858|-78.1827|70166|Sound technician, broadcasting/film/video|1945-03-15|646045230097|adults_50up_male_urban.json
159-54-1623|36405377351589|Steven|Newman|M|4317 Elizabeth Row|Alexandria|VA|22309|38.7192|-77.1073|321490|Therapist, speech and language|1956-09-20|25645650502|adults_50up_male_urban.json
806-43-3991|4183933529042288|Danielle|Thompson|F|05395 Grant Center|Gansevoort|NY|12831|43.1803|-73.7053|17416|Computer games developer|1974-09-20|462747155483|adults_50up_female_urban.json
117-96-1042|38589178390843|Judith|Maynard|F|6617 Jones Common|Austin|TX|78745|30.2063|-97.7956|940359|IT technical support officer|1973-11-24|161526407509|adults_50up_female_urban.json
130-36-9591|180069847896112|Sarah|Curtis|F|7365 Ross Stream|Washougal|WA|98671|45.5959|-122.3104|21220|Chief of Staff|1958-03-27|469493820213|adults_50up_female_urban.json
682-33-6133|4111161528098856|Michael|Jenkins|M|049 Bell Ports Apt. 273|Los Angeles|CA|90047|33.9569|-118.3073|2383912|Clinical cytogeneticist|1971-08-19|929216664078|adults_50up_male_urban.json
377-15-4565|3568998094024455|Gregory|White|M|612 Christopher Pines|Dallas|TX|75229|32.8958|-96.8588|1263321|Engineer, structural|1956-12-05|461177243339|adults_50up_male_urban.json
350-21-6063|4991022901476797641|Daniel|Hunt|M|1497 Williams Locks Apt. 034|Bronx|NY|10453|40.852|-73.9129|1382480|Engineer, mining|1980-06-08|153619596480|adults_2550_male_urban.json
297-42-1966|675962268388|Kristin|Barnett|F|60607 Michelle Ports Suite 966|Urbana|OH|43078|40.1066|-83.7671|20885|Horticultural consultant|2003-09-10|442876297368|young_adults_female_urban.json
333-22-7539|3516136968164536|Felicia|Jackson|F|835 Luna Viaduct|Chicago|IL|60605|41.8712|-87.6277|2680484|Data scientist|1967-09-16|112683916677|adults_50up_female_urban.json
263-26-2843|3512779979955279|Andrea|Ramos|F|9058 Lance Mission Apt. 054|San Antonio|TX|78266|29.6643|-98.3118|1595797|Camera operator|1979-12-24|951956593813|adults_2550_female_urban.json
630-77-8308|6598079359782074|Brian|Nolan|M|182 John Mill Suite 889|Bell|CA|90201|33.9767|-118.1689|101279|Designer, interior/spatial|1953-01-27|409584822948|adults_50up_male_urban.json
397-53-5544|4515186449251922|Thomas|Collins|M|91486 Li Skyway Apt. 685|Los Angeles|CA|90018|34.029|-118.3152|2383912|Adult nurse|1967-08-16|340859761513|adults_50up_male_urban.json
220-44-7968|4221418880595|Carlos|Bennett|M|92706 Rhodes Freeway|Chester|PA|19013|39.8498|-75.3747|35130|Producer, radio|1974-02-18|311860132678|adults_50up_male_urban.json
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|El Sobrante|CA|94803|37.9693|-122.2901|24904|Production assistant, television|1992-04-11|566528976346|adults_2550_female_urban.json
851-56-1503|4506068536152|Courtney|Flores|F|522 Justin Village|Takoma Park|MD|20912|38.9832|-77.0007|24807|Public house manager|1944-01-05|913522673163|adults_50up_female_urban.json
778-91-7686|30010432898610|Paula|Young|F|36971 Mary Parks|Orlando|FL|32824|28.3932|-81.3622|878243|Therapist, speech and language|1998-09-20|19482202674|adults_2550_female_urban.json
528-74-3964|3546095396218518|Troy|Stephens|M|7065 Burgess Knolls|Dana|IN|47847|39.839|-87.4712|1077|Broadcast journalist|1948-07-02|263473920508|adults_50up_male_rural.json
673-81-1699|3520585277221706|Edward|Williams|M|54868 King Terrace|Union|MO|63084|38.4456|-91.0206|17414|Engineer, aeronautical|1955-12-08|392070860877|adults_50up_male_urban.json
887-84-5439|4566765277584161694|Whitney|White|F|1154 Griffin Stravenue Suite 275|Belleville|MI|48111|42.1949|-83.4854|42313|Product manager|1974-08-17|799045831074|adults_50up_female_urban.json
630-56-4499|4165820297021358|Heidi|Herring|F|275 Wallace Club|Red Wing|MN|55066|44.5528|-92.5486|18564|Teacher, secondary school|1971-12-30|580411980930|adults_50up_female_urban.json
408-41-4567|4027868144733|Zachary|Mitchell|M|12172 Osborn Valleys Suite 518|Rockville|MD|20850|39.087|-77.168|130569|Special effects artist|1933-06-26|980499639968|adults_50up_male_urban.json
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Trussville|AL|35173|33.6339|-86.5981|25176|Comptroller|1981-03-16|352068690122|adults_2550_male_urban.json
076-58-7633|4289226801824223|Erica|Fletcher|F|414 Cynthia Plaza Suite 249|Los Angeles|CA|90016|34.0298|-118.3528|2383912|Social research officer, government|1990-11-08|550157085827|adults_2550_female_urban.json
173-76-9514|4995900109439695|Mark|Jimenez|M|473 Evans Cliffs Apt. 276|Apex|NC|27539|35.7127|-78.821|49523|Radio broadcast assistant|1981-10-22|225333063288|adults_2550_male_urban.json
622-19-5122|3556258815371477|Danielle|Davis|F|9632 Peck Stravenue Suite 327|Newport|MI|48166|41.9766|-83.2804|11569|Scientist, biomedical|1934-07-29|547465802270|adults_50up_female_urban.json
510-03-1476|6533950047974802|Sarah|Jordan|F|565 Richard Port Apt. 584|Chicago|IL|60634|41.9463|-87.8061|2680484|Buyer, retail|1967-07-01|555710136742|adults_50up_female_urban.json
783-71-4583|3521655852398689|Amanda|Williams|F|8729 Mark Ridge Suite 269|Merced|CA|95340|37.2983|-120.4649|97703|Hydrographic surveyor|1979-04-28|371917215429|adults_2550_female_urban.json
849-66-8722|30470551694093|John|Coffey|M|097 Alexandria Stravenue|Lawrence|MA|01841|42.7115|-71.167|76383|Water quality scientist|1965-04-05|926744876615|adults_50up_male_urban.json
152-88-3969|676213075622|Jason|Harris|M|028 Ann Shore Suite 865|Milwaukee|WI|53219|42.9959|-87.9944|817312|Early years teacher|1979-12-07|375951918053|adults_2550_male_urban.json
363-87-4332|3533484344375759|Kristina|Michael|F|1986 Cardenas Trail Apt. 404|Mercedes|TX|78570|26.1513|-97.9185|32525|Careers information officer|1959-08-02|719159529356|adults_50up_female_urban.json
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|River Forest|IL|60305|41.8951|-87.8159|11172|IT sales professional|1985-09-21|709895453406|adults_2550_male_urban.json
788-12-9407|4262067240046|Keith|Rodriguez|M|7887 Melissa Mountain Suite 315|Ridgefield|CT|06877|41.2977|-73.4973|24677|Designer, textile|1993-01-05|505651306822|adults_2550_male_urban.json
264-92-3051|060454932967|Samantha|Robertson|F|1227 Boyle Avenue|Flint|MI|48532|43.0111|-83.803|162969|Games developer|1978-01-21|259345477235|adults_2550_female_urban.json
772-35-5401|4453017426841459337|Tina|Mendoza|F|956 Todd Unions Apt. 391|Hannibal|MO|63401|39.7064|-91.3839|22067|Secondary school teacher|1994-03-14|581739352909|adults_2550_female_urban.json
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|Dallas|OR|97338|44.9225|-123.32|20045|Accountant, chartered certified|1985-12-12|239426407161|adults_2550_female_urban.json
075-06-6942|348017046226564|Joan|Stark|F|1825 Gregory Plain Suite 823|Hartford|WV|25247|38.7523|-81.9973|509|Accountant, chartered certified|1971-09-05|24722602367|adults_50up_female_rural.json
475-87-8921|6533752431069037|Daniel|Garcia|M|9030 Gonzales Plains|Greensboro|NC|27410|36.1032|-79.8794|305168|Engineer, water|1975-02-24|952427834357|adults_50up_male_urban.json
144-65-4740|4995342836449|Antonio|Fry|M|687 Teresa Row|San Antonio|TX|78213|29.5234|-98.5273|1595797|Museum/gallery curator|1983-12-02|578900622716|adults_2550_male_urban.json
714-54-6689|4628733427086681|Joseph|Price|M|51751 Brett Lane Apt. 139|Fremont|NE|68025|41.4416|-96.4945|30376|Surveyor, land/geomatics|1945-11-05|524918088976|adults_50up_male_urban.json
891-43-4968|563173936383|Frank|Campbell|M|544 Hunt Parks Suite 175|Thousand Oaks|CA|91362|34.1948|-118.8232|78447|Engineer, electronics|1962-02-08|345189549205|adults_50up_male_urban.json
047-73-3626|3504899642353692|Sandra|Porter|F|7772 Jackson Stravenue Suite 280|Roseville|CA|95747|38.7703|-121.3372|122853|Scientist, research (physical sciences)|1944-01-31|919268273279|adults_50up_female_urban.json
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|Salinas|CA|93901|36.6677|-121.6596|182180|Retail buyer|1989-07-12|767996662339|adults_2550_female_urban.json
441-23-1754|2623398454615676|Karl|Branch|M|1016 Bennett Mountains|Roanoke|VA|24012|37.3029|-79.9322|165571|Banker|1985-12-07|11324746755|adults_2550_male_urban.json
176-11-8190|6591803397401489|Justin|Johnson|M|39261 Martin Garden Suite 856|San Fernando|CA|91340|34.2875|-118.4352|34188|Counselling psychologist|1960-11-30|797529515996|adults_50up_male_urban.json
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Aiken|SC|29803|33.5059|-81.6951|69485|Podiatrist|2003-09-01|748122047461|young_adults_female_urban.json
677-49-1405|3531142626551107|Tommy|Wallace|M|21267 Garcia Corners Suite 819|Miami|FL|33167|25.8856|-80.2292|1737737|Therapist, sports|1953-12-08|359851424229|adults_50up_male_urban.json
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Quincy|FL|32351|30.5867|-84.6094|17486|Programmer, systems|1975-02-08|146488330909|adults_50up_female_urban.json
007-51-5444|3557569245937524|Tracey|Novak|F|793 Bennett Viaduct Suite 519|Dallas|TX|75208|32.7492|-96.8389|1263321|Engineer, communications|1995-05-14|199911954718|adults_2550_female_urban.json
787-71-0441|3537416724342666|Angela|Ewing|F|688 Stephens Turnpike Suite 891|La Grange|KY|40031|38.4029|-85.3928|22863|Clinical embryologist|1968-03-13|273885572142|adults_50up_female_urban.json
681-46-2726|4965610143888999|Connie|Brooks|F|982 Cuevas Orchard Apt. 461|Philadelphia|PA|19111|40.0596|-75.0818|1526206|Commercial art gallery manager|1959-05-17|157754796139|adults_50up_female_urban.json
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Tempe|AZ|85283|33.3665|-111.9312|167311|Psychologist, counselling|1999-11-07|877169140360|adults_2550_male_urban.json
645-24-3054|4609379660334199|Ashley|Wiggins|F|5371 Lambert Overpass|Athens|OH|45701|39.3178|-82.102|34122|Secretary, company|1963-10-12|704228248578|adults_50up_female_urban.json
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|Philadelphia|PA|19124|40.0178|-75.0895|1526206|Electronics engineer|1996-08-30|697874934613|adults_2550_male_urban.json
711-83-2839|213174225790506|Kari|Lee|F|876 Perry Ville Suite 721|Killbuck|OH|44637|40.4933|-81.9837|2694|Systems analyst|1972-04-14|872010906800|adults_50up_female_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Ridge|NY|11961|40.9018|-72.8881|12834|Firefighter|1952-07-03|959056357132|adults_50up_female_urban.json
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|La Habra|CA|90631|33.9331|-117.9494|67619|Paramedic|1947-02-04|68370591034|adults_50up_male_urban.json
888-84-2079|3532536729466718|Madeline|Beard|F|8457 Murphy Alley|Poway|CA|92064|32.9756|-117.0402|47904|Chief Financial Officer|1979-06-08|697753726506|adults_2550_female_urban.json
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|La Puente|CA|91746|34.0443|-117.9862|115525|Phytotherapist|1994-08-06|999389892260|adults_2550_male_urban.json
667-39-2605|4541520643611037125|Linda|Stone|F|05162 Jones Lights Apt. 115|Lombard|IL|60148|41.8721|-88.016|51468|Mental health nurse|1973-06-27|330201333423|adults_50up_female_urban.json
392-97-2182|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Fredericksburg|VA|22407|38.2688|-77.5476|156008|Health and safety inspector|1996-08-31|92962937500|adults_2550_female_urban.json
567-77-9831|3504389836403768|Brian|Porter|M|055 Paul Villages|Thousand Oaks|CA|91362|34.1948|-118.8232|78447|Teacher, adult education|1953-06-11|401239553647|adults_50up_male_urban.json
700-23-7718|5191043006848665|Michael|Miller|M|1418 Terri Drives|Chandler|AZ|85225|33.3105|-111.8239|255641|Software engineer|1994-08-03|430900111440|adults_2550_male_urban.json
650-98-1084|4303161799042102026|Jon|Reed|M|52410 Roman Groves Apt. 491|Oconomowoc|WI|53066|43.1095|-88.4862|33830|Research scientist (maths)|1959-12-14|560300808050|adults_50up_male_urban.json
057-64-9288|4241913800030756|James|Hernandez|M|635 Robert Stravenue|Manchester|CT|06042|41.7966|-72.5292|58248|IT consultant|1985-04-02|907403143513|adults_2550_male_urban.json
